id;title;description;type;user_id;enterprise_id
1;mobile Fish;Home Loan Account Table Computer;PROJECT;33370;1
2;Metal deposit;Producer;PROJECT;61748;2
3;Home Loan Account;web-readiness;PROJECT;39986;3
4;Gorgeous Frozen Pants;Common;COURSE;46676;4
5;HDD;Table Small Frozen Sausages Planner;COURSE;24102;5
6;Bahamian Dollar Investment Account;Games Regional Digitized;PROJECT;20794;6
7;Georgia Industrial;connect Markets Chief;PROJECT;57044;7
8;Aruba;software scale interactive;PROJECT;27599;8
9;scalable;Small;COURSE;1407;9
10;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;PROJECT;37081;10
